latitude,longitude,value,aqi,so2,no2,o3,value2
37.3935821,140.3435799,92.0,42.0,1.5,13.9,4.8,92.0
37.3935821,140.3435799,56.0,42.0,1.5,13.9,4.8,56.0
37.3935821,140.3435799,56.0,42.0,1.5,13.9,4.8,56.0
37.3935821,140.3435799,56.0,42.0,1.5,13.9,4.8,56.0
37.3935821,140.3435799,60.0,42.0,1.5,13.9,4.8,60.0
37.3935821,140.3435799,132.0,42.0,1.5,13.9,4.8,132.0
37.3935821,140.3435799,123.0,42.0,1.5,13.9,4.8,123.0
37.3935821,140.3435799,98.0,42.0,1.5,13.9,4.8,98.0
37.3935821,140.3435799,103.0,42.0,1.5,13.9,4.8,103.0
37.3935821,140.3435799,92.0,42.0,1.5,13.9,4.8,92.0
37.3935821,140.3435799,94.0,42.0,1.5,13.9,4.8,94.0
37.3935821,140.3435799,55.0,42.0,1.5,13.9,4.8,55.0
37.3935821,140.3435799,44.0,42.0,1.5,13.9,4.8,44.0
37.3935821,140.3435799,64.0,42.0,1.5,13.9,4.8,64.0
37.3935821,140.3435799,76.0,42.0,1.5,13.9,4.8,76.0
37.3935821,140.3435799,86.0,42.0,1.5,13.9,4.8,86.0
35.4437078,139.6380256,44.0,25.0,2.9,14.9,15.2,44.0
37.3935821,140.3435799,142.0,42.0,1.5,13.9,4.8,142.0
37.3935821,140.3435799,64.0,42.0,1.5,13.9,4.8,64.0
37.3935821,140.3435799,58.0,42.0,1.5,13.9,4.8,58.0
37.3935821,140.3435799,43.0,42.0,1.5,13.9,4.8,43.0
37.3935821,140.3435799,88.0,42.0,1.5,13.9,4.8,88.0
37.3935821,140.3435799,141.0,42.0,1.5,13.9,4.8,141.0
37.3935821,140.3435799,113.0,42.0,1.5,13.9,4.8,113.0
37.3935821,140.3435799,119.0,42.0,1.5,13.9,4.8,119.0
37.3935821,140.3435799,101.0,42.0,1.5,13.9,4.8,101.0
37.3935821,140.3435799,72.0,42.0,1.5,13.9,4.8,72.0
37.3935821,140.3435799,113.0,42.0,1.5,13.9,4.8,113.0
37.3935821,140.3435799,71.0,42.0,1.5,13.9,4.8,71.0
37.3935821,140.3435799,111.0,42.0,1.5,13.9,4.8,111.0
37.3935821,140.3435799,70.0,42.0,1.5,13.9,4.8,70.0
37.3935821,140.3435799,96.0,42.0,1.5,13.9,4.8,96.0
37.7669407,140.4494579,52.0,17.0,1.5,6.5,1.6,52.0
37.7669407,140.4494579,154.0,17.0,1.5,6.5,1.6,154.0
34.9841483,136.5896797,43.0,46.0,1.5,18.6,4.8,43.0
35.6718388,139.7551457,33.0,18.0,1.5,25.1,11.2,33.0
42.3584308,-71.0597732,44.0,25.0,1.0,9.3,18.4,44.0
37.6399941,140.9503931,76.0,30.0,1.5,3.8,14.5,76.0
37.2657039,140.9983584,42.0,3.0,1.5,1.0,18.4,42.0
37.2657039,140.9983584,361.0,3.0,1.5,1.0,18.4,361.0
36.9632779,140.8926893,34.0,10.0,1.5,12.1,3.2,34.0
37.0582877,140.8851541,46.0,25.0,1.5,1.9,14.5,46.0
37.0582877,140.8851541,35.0,25.0,1.5,1.9,14.5,35.0
37.7669407,140.4494579,72.0,30.0,1.5,7.5,4.0,72.0
37.7669407,140.4494579,50.0,30.0,1.5,7.5,4.0,50.0
34.6223426,136.0917954,0.0,30.0,1.5,2.8,27.2,0.0
37.7669407,140.4494579,125.0,30.0,1.5,7.5,4.0,125.0
37.7669407,140.4494579,115.0,30.0,1.5,7.5,4.0,115.0
37.7669407,140.4494579,102.0,30.0,1.5,7.5,4.0,102.0
37.7669407,140.4494579,219.0,30.0,1.5,7.5,4.0,219.0
37.6399941,140.9503931,2258.0,17.0,1.5,2.8,19.2,2258.0
37.6399941,140.9503931,88.0,17.0,1.5,2.8,19.2,88.0
37.6399941,140.9503931,83.0,17.0,1.5,2.8,19.2,83.0
37.6399941,140.9503931,1165.0,17.0,1.5,2.8,19.2,1165.0
37.6399941,140.9503931,2554.0,17.0,1.5,2.8,19.2,2554.0
37.6399941,140.9503931,1872.0,17.0,1.5,2.8,19.2,1872.0
37.6399941,140.9503931,1259.0,17.0,1.5,2.8,19.2,1259.0
35.62048,139.7190949,25.0,38.0,1.5,24.1,15.2,25.0
35.62048,139.7190949,28.0,38.0,1.5,24.1,15.2,28.0
35.62048,139.7190949,36.0,38.0,1.5,24.1,15.2,36.0
37.6399941,140.9503931,81.2,17.0,1.5,2.8,19.2,81.2
36.9632779,140.8926893,33.0,25.0,1.5,12.1,4.8,33.0
38.8577,-77.05922,22.0,43.0,0.2,6.4,2.9,22.0
49.1864,-123.1522,22.0,13.0,0.2,2.0,13.0,22.0
49.1414,-123.1083,28.0,13.0,0.1,0.5,13.0,28.0
35.6422723,139.7354456,39.0,30.0,4.3,19.5,10.4,39.0
35.62048,139.7190949,21.0,38.0,1.5,24.1,15.2,21.0
35.6422723,139.7354456,26.0,30.0,4.3,19.5,10.4,26.0
35.6422723,139.7354456,14.0,30.0,4.3,19.5,10.4,14.0
35.6422723,139.7354456,19.0,30.0,4.3,19.5,10.4,19.0
34.9841483,136.5896797,41.0,25.0,1.5,10.2,9.6,41.0
34.9841483,136.5896797,43.0,25.0,1.5,10.2,9.6,43.0
34.9841483,136.5896797,42.0,25.0,1.5,10.2,9.6,42.0
34.9841483,136.5896797,39.0,25.0,1.5,10.2,9.6,39.0
34.9654097,136.6333952,36.0,21.0,1.5,11.2,1.6,36.0
22.2828962,114.2193366,69.0,34.0,0.4,3.2,33.5,69.0
37.2657039,140.9983584,222.0,9.0,1.5,1.9,11.2,222.0
38.8577,-77.05922,25.0,30.0,0.2,1.6,13.0,25.0
35.6523419,139.6906188,34.0,9.0,1.5,16.7,12.8,34.0
37.2657039,140.9983584,204.0,9.0,1.5,1.9,11.2,204.0
37.2657039,140.9983584,212.0,9.0,1.5,1.9,11.2,212.0
37.2657039,140.9983584,115.0,9.0,1.5,1.9,11.2,115.0
37.2657039,140.9983584,80.0,9.0,1.5,1.9,11.2,80.0
37.2657039,140.9983584,173.0,9.0,1.5,1.9,11.2,173.0
36.9632779,140.8926893,35.0,17.0,1.5,6.5,1.6,35.0
37.7669407,140.4494579,37.0,17.0,1.5,6.5,1.6,37.0
37.7669407,140.4494579,44.0,17.0,1.5,6.5,1.6,44.0
37.7669407,140.4494579,57.0,17.0,1.5,6.5,1.6,57.0
37.0582877,140.8851541,41.0,13.0,1.5,2.8,5.6,41.0
36.9632779,140.8926893,39.0,17.0,1.5,6.5,1.6,39.0
37.6399941,140.9503931,73.6,13.0,1.5,1.9,10.4,73.6
34.6223426,136.0917954,0.0,21.0,1.5,2.8,9.6,0.0
37.7669407,140.4494579,116.0,17.0,1.5,6.5,1.6,116.0
37.7669407,140.4494579,123.0,17.0,1.5,6.5,1.6,123.0
37.7669407,140.4494579,140.0,17.0,1.5,6.5,1.6,140.0
37.6399941,140.9503931,2180.0,13.0,1.5,1.9,10.4,2180.0
37.6399941,140.9503931,2764.0,13.0,1.5,1.9,10.4,2764.0
37.6399941,140.9503931,1691.0,13.0,1.5,1.9,10.4,1691.0
37.6399941,140.9503931,110.0,13.0,1.5,1.9,10.4,110.0
37.6399941,140.9503931,126.0,13.0,1.5,1.9,10.4,126.0
37.6399941,140.9503931,74.0,13.0,1.5,1.9,10.4,74.0
37.6399941,140.9503931,93.0,13.0,1.5,1.9,10.4,93.0
37.6399941,140.9503931,56.0,13.0,1.5,1.9,10.4,56.0
37.6399941,140.9503931,1208.0,13.0,1.5,1.9,10.4,1208.0
37.6399941,140.9503931,1049.0,13.0,1.5,1.9,10.4,1049.0
37.6399941,140.9503931,2136.0,13.0,1.5,1.9,10.4,2136.0
35.692745,139.7680749,30.0,7.0,1.5,11.2,12.8,30.0
35.692745,139.7680749,27.0,7.0,1.5,11.2,12.8,27.0
35.6718388,139.7551457,41.0,10.0,1.5,16.7,12.8,41.0
35.62048,139.7190949,23.0,8.0,1.5,14.9,10.4,23.0
35.62048,139.7190949,31.0,8.0,1.5,14.9,10.4,31.0
35.62048,139.7190949,34.0,8.0,1.5,14.9,10.4,34.0
35.6718388,139.7551457,31.0,10.0,1.5,16.7,12.8,31.0
38.8577,-77.05922,24.0,28.0,0.2,1.6,13.0,24.0
37.6399941,140.9503931,72.2,13.0,1.5,1.9,10.4,72.2
37.2657039,140.9983584,210.0,9.0,1.5,1.9,11.2,210.0
35.6523419,139.6906188,38.0,9.0,1.5,16.7,12.8,38.0
